city,tax_year,sev,tv,sev_basis
Detroit,2006,14113441000,9239803380,ACFR AV=SEV citywide real+personal; TV=Form-625 tax-year (canonical)
Detroit,2007,13945472000,9468676802,ACFR AV=SEV citywide real+personal; TV=Form-625 tax-year (canonical)
Detroit,2008,12497643000,10031267735,ACFR AV=SEV citywide real+personal; TV=Form-625 tax-year (canonical)
Detroit,2009,11120394000,9725918781,ACFR AV=SEV citywide real+personal; TV=Form-625 tax-year (canonical)
Detroit,2010,10826648000,9111881179,ACFR AV=SEV citywide real+personal; TV=Form-625 tax-year (canonical)
Detroit,2011,10123104000,8755413994,ACFR AV=SEV citywide real+personal; TV=Form-625 tax-year (canonical)
Detroit,2012,9437452000,8447370400,ACFR AV=SEV citywide real+personal; TV=Form-625 tax-year (canonical)
Detroit,2013,8981538000,8301190480,ACFR AV=SEV citywide real+personal; TV=Form-625 tax-year (canonical)
Detroit,2014,7812081000,7313418377,ACFR AV=SEV citywide real+personal; TV=Form-625 tax-year (canonical)
Detroit,2015,7593512000,7086474474,ACFR AV=SEV citywide real+personal; TV=Form-625 tax-year (canonical)
Detroit,2016,6951845000,6414231487,ACFR AV=SEV citywide real+personal; TV=Form-625 tax-year (canonical)
Detroit,2017,6871211000,6038052029,ACFR AV=SEV citywide real+personal; TV=Form-625 tax-year (canonical)
Detroit,2018,7331465000,6113711044,ACFR AV=SEV citywide real+personal; TV=Form-625 tax-year (canonical)
Detroit,2019,9714275000,6309949756,ACFR AV=SEV citywide real+personal; TV=Form-625 tax-year (canonical)
Detroit,2020,10634753000,6671463345,ACFR AV=SEV citywide real+personal; TV=Form-625 tax-year (canonical)
Detroit,2021,10944512000,6471550482,ACFR AV=SEV citywide real+personal; TV=Form-625 tax-year (canonical)
Detroit,2022,13195868000,7389687079,ACFR AV=SEV citywide real+personal; TV=Form-625 tax-year (canonical)
Detroit,2023,14738867000,7992291616,ACFR AV=SEV citywide real+personal; TV=Form-625 tax-year (canonical)
Flint,2002,1416347817,,Genesee Cnty real-only SEV; TV=Form-625 real+personal (basis differ; index-to-peak)
Flint,2003,1459734232,,Genesee Cnty real-only SEV; TV=Form-625 real+personal (basis differ; index-to-peak)
Flint,2004,1518584243,1598327021,Genesee Cnty real-only SEV; TV=Form-625 real+personal (basis differ; index-to-peak)
Flint,2005,1539997636,1654104960,Genesee Cnty real-only SEV; TV=Form-625 real+personal (basis differ; index-to-peak)
Flint,2006,1609528600,1678858296,Genesee Cnty real-only SEV; TV=Form-625 real+personal (basis differ; index-to-peak)
Flint,2007,1648333300,1693727807,Genesee Cnty real-only SEV; TV=Form-625 real+personal (basis differ; index-to-peak)
Flint,2008,1624479700,1643424483,Genesee Cnty real-only SEV; TV=Form-625 real+personal (basis differ; index-to-peak)
Flint,2009,1427287500,1505610437,Genesee Cnty real-only SEV; TV=Form-625 real+personal (basis differ; index-to-peak)
Flint,2010,1250419900,1305121403,Genesee Cnty real-only SEV; TV=Form-625 real+personal (basis differ; index-to-peak)
Flint,2011,1027365000,1146789005,Genesee Cnty real-only SEV; TV=Form-625 real+personal (basis differ; index-to-peak)
Flint,2012,812533700,942226522,Genesee Cnty real-only SEV; TV=Form-625 real+personal (basis differ; index-to-peak)
Flint,2013,640570000,776654903,Genesee Cnty real-only SEV; TV=Form-625 real+personal (basis differ; index-to-peak)
Flint,2014,635264150,754826072,Genesee Cnty real-only SEV; TV=Form-625 real+personal (basis differ; index-to-peak)
Flint,2015,619543850,749945990,Genesee Cnty real-only SEV; TV=Form-625 real+personal (basis differ; index-to-peak)
Flint,2016,668248900,710934838,Genesee Cnty real-only SEV; TV=Form-625 real+personal (basis differ; index-to-peak)
Flint,2017,678734474,714582817,Genesee Cnty real-only SEV; TV=Form-625 real+personal (basis differ; index-to-peak)
Flint,2018,705071642,733885761,Genesee Cnty real-only SEV; TV=Form-625 real+personal (basis differ; index-to-peak)
Flint,2019,727225047,742647433,Genesee Cnty real-only SEV; TV=Form-625 real+personal (basis differ; index-to-peak)
Flint,2020,788254980,771356890,Genesee Cnty real-only SEV; TV=Form-625 real+personal (basis differ; index-to-peak)
Flint,2021,837137464,804246571,Genesee Cnty real-only SEV; TV=Form-625 real+personal (basis differ; index-to-peak)
Flint,2022,904538510,836290716,Genesee Cnty real-only SEV; TV=Form-625 real+personal (basis differ; index-to-peak)
Flint,2023,1043280034,905635796,Genesee Cnty real-only SEV; TV=Form-625 real+personal (basis differ; index-to-peak)
Flint,2024,1195742197,969273616,Genesee Cnty real-only SEV; TV=Form-625 real+personal (basis differ; index-to-peak)
Flint,2025,1306456084,1055175591,Genesee Cnty real-only SEV; TV=Form-625 real+personal (basis differ; index-to-peak)
