category,case_histories,mapped_case_histories,match_share,atlas_tier,meets_count_gate,meets_match_gate,publication_eligible,gate_reason
administrative_or_community_appeal,118,117,0.9915254237288136,core,True,True,True,eligible
parking_supply,62,62,1.0,core,True,True,True,eligible
use_spacing_separation,45,45,1.0,core,True,True,True,eligible
setbacks_yards,42,42,1.0,core,True,True,True,eligible
nonconforming_use_or_structure,39,39,1.0,core,True,True,True,eligible
lot_coverage,30,30,1.0,dimensional,True,True,True,eligible
lot_dimensions,28,28,1.0,dimensional,True,True,True,eligible
height,18,17,0.9444444444444444,dimensional,True,True,True,eligible
parking_layout,11,11,1.0,dimensional,True,True,True,eligible
screening_landscaping,9,9,1.0,dimensional,False,True,False,fewer than 10 histories
signs_billboards,8,8,1.0,dimensional,False,True,False,fewer than 10 histories
floor_area_bulk,7,7,1.0,dimensional,False,True,False,fewer than 10 histories
open_recreation_space,6,6,1.0,dimensional,False,True,False,fewer than 10 histories
multiple_buildings,7,7,1.0,rare_appendix,False,True,False,fewer than 10 histories
fences_walls,1,1,1.0,rare_appendix,False,True,False,fewer than 10 histories
loading,1,1,1.0,rare_appendix,False,True,False,fewer than 10 histories
hardship_relief,12,12,1.0,analysis_only,True,True,False,"analytical tag, not a relief geometry"
dimensional_relief_unspecified,71,69,0.971830985915493,qa_only,True,True,False,quality-assurance category
request_not_stated,11,7,0.6363636363636364,qa_only,True,False,False,quality-assurance category
