case_history_id,category,classification_sources,evidence
bza-01-22-5580a4e30b,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-01-23-b0171819a2,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-03-23-cdc3a2629c,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-04-21-d519a3c5a2,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-06-23-06ef82a262,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-10-20-4e6d17ae69,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination""]"
bza-100-19-fe808d91c8,administrative_or_community_appeal,direct,"[""appeal the bseed denial"", ""appeals of administrative decision and 50-3-281 general approval"", ""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination""]"
bza-106-17-de942bc315,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-107-19-7c49964699,administrative_or_community_appeal,direct,"[""appeals the decision""]"
bza-108-19-9b26eee3a4,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals within fourteen (14) days of the date of the department’s decision""]"
bza-109-19-877243d9d6,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-11-22-50abfc40df,administrative_or_community_appeal,direct,"[""appeals will be required to waive the deficient parking. ( - permitted dimensional variances and 50-4-121 approval""]"
bza-116-17-28da9b4180,administrative_or_community_appeal,direct,"[""appeals the decision"", ""appeals, 61-3-354 conditional uses; procedures; waivers; public nuisance and 61-3-231 general approval""]"
bza-12-20-f9060d3522,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-14-17-07ea6a1a53,administrative_or_community_appeal,direct,"[""appeal of the revised decision""]"
bza-14-24-3f7d9a8551,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-15-19-dccd43859a,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-16-19-80a654a895,administrative_or_community_appeal,direct,"[""appealed because applicability. and 61-4-81 approval""]"
bza-16-23-d69ef06e72,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-17-19-f5959a3b07,administrative_or_community_appeal,direct,"[""appeals based on the approval""]"
bza-17-23-eb9c5fba42,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-18-21-2fef649f8a,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-18-25-cb4f866709,administrative_or_community_appeal,direct,"[""appeal the decision""]"
bza-184-17-b3de95c28c,administrative_or_community_appeal,direct,"[""appeals and 61-3-231 general approval"", ""appeals the decision""]"
bza-2-20-b0139b3b1f,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
bza-20-21-d70f25cae4,administrative_or_community_appeal,direct,"[""appeals shall hear and decide appeals from and review any order, requirement, decision, or determination"", ""appeals the decision""]"
