occurrence_id,case_history_id,case_number,meeting_date,decision_status,decision,decision_basis,source_file
2019-03-05:116-16:1,bza-116-16-902857b7a3,116-16,2019-03-05,decided,SPACING/LOCATIONAL VARIANCE DENIED,recorded_disposition,2019-03-05_bza_minutes.pdf
2019-03-05:5-19:1,bza-5-19-2dc104a2e6,5-19,2019-03-05,decided,DIMENSIONAL VARAINCE GRANTED,recorded_disposition,2019-03-05_bza_minutes.pdf
2019-03-05:72-18:1,bza-72-18-196a5b43c0,72-18,2019-03-05,dismissed,DISMSSED WITH PREJUDICE,recorded_disposition,2019-03-05_bza_minutes.pdf
2019-03-05:75-18:1,bza-75-18-7d8e616722,75-18,2019-03-05,decided,"BSEED DECISION UPHELD, DRUG FREE ZONE",recorded_disposition,2019-03-05_bza_minutes.pdf
2019-03-12:116-17:1,bza-116-17-28da9b4180,116-17,2019-03-12,dismissed,Petitioner does not have standing to bring appeal before the Board.,recorded_disposition,2019-03-12_bza_minutes.pdf
2019-03-12:76-18:1,bza-76-18-cbc171d150,76-18,2019-03-12,decided,"BSEED DECISION UPHELD, DRUG FREE ZONE",recorded_disposition,2019-03-12_bza_minutes.pdf
2019-03-12:77-18:1,bza-77-18-95afed9f1e,77-18,2019-03-12,decided,BSEED DECISION AFFIRMED,recorded_disposition,2019-03-12_bza_minutes.pdf
2019-03-12:78-18:1,bza-78-18-85c69b7830,78-18,2019-03-12,decided,CHANGE OF NON CONFORMING USE GRANTED,recorded_disposition,2019-03-12_bza_minutes.pdf
2019-03-19:01-19:1,bza-01-19-6ca8bb24fa,01-19,2019-03-19,postponed,ADJOURNED,inferred_from_motion_and_vote,2019-03-19_bza_minutes.pdf
2019-03-19:49-18:1,bza-49-18-7931dced47,49-18,2019-03-19,postponed,ADJOURNED WITHOUT DATE AND WITHOUT FEE,recorded_disposition,2019-03-19_bza_minutes.pdf
2019-03-19:53-18:1,bza-53-18-249a9f612c,53-18,2019-03-19,decided,BSEED DECISION UPHELD/USE DENIED,recorded_disposition,2019-03-19_bza_minutes.pdf
