case_history_id,occurrence_id,site_key,site_id,number,street,source_location,street_nodir,match_status,parcel_match_count
bza-116-16-902857b7a3,2019-03-05:116-16:1,14846:W SEVEN MILE,site-2fb81e14fa72,14846,W SEVEN MILE,14846 W. Seven Mile Rd. Between: Robson and Lauder in an B4 Zone (General Business District) Council District #2,SEVEN MILE,matched,1
bza-5-19-2dc104a2e6,2019-03-05:5-19:1,7250:MACK,site-6c3950cb2391,7250,MACK,7250 Mack (aka 7200 Mack) Between: E. Grand Blvd. and Field in an R5 Zone (Medium Density Residential District) – Council District # 6,MACK,matched,1
bza-5-19-2dc104a2e6,2019-03-05:5-19:1,7200:MACK,site-dd2f49c4770e,7200,MACK,7250 Mack (aka 7200 Mack) Between: E. Grand Blvd. and Field in an R5 Zone (Medium Density Residential District) – Council District # 6,MACK,matched,1
bza-72-18-196a5b43c0,2019-03-05:72-18:1,20181:VAN DYKE,site-0649167f79d9,20181,VAN DYKE,20181 Van Dyke Between: Savage and Milbank in a B4 zone (General Business District) – Council District # 3,VAN DYKE,matched,1
bza-75-18-7d8e616722,2019-03-05:75-18:1,16703:MACK,site-766d622744d8,16703,MACK,16703 Mack Between: Bishop and Yorkshire in a B4 zone (General Business District) City Council District #4,MACK,matched,1
bza-116-17-28da9b4180,2019-03-12:116-17:1,13042:VAN DYKE,site-5666383e2f10,13042,VAN DYKE,13042 Van Dyke Ave. Between: Forestlawn St. and Almont St in a B4 Zone (General Business District),VAN DYKE,matched,1
bza-76-18-cbc171d150,2019-03-12:76-18:1,10345:W EIGHT MILE,site-929301754953,10345,W EIGHT MILE,10345 W. Eight Mile between Birwood and Griggs in a B2 zone (Local Business And Residential District),EIGHT MILE,matched,1
bza-77-18-95afed9f1e,2019-03-12:77-18:1,14730:HARPER,site-1061a52bbe0f,14730,HARPER,14730 Harper between Outer Drive and Manistique in a B4 zone (General Business District),HARPER,matched,1
bza-78-18-85c69b7830,2019-03-12:78-18:1,2950:ROSA PARKS,site-6f3fb5624d31,2950,ROSA PARKS,2950 Rosa Parks Blvd. between Elm St and Temple St in a R3 zone (Low Density Residential District),ROSA PARKS,matched,1
bza-01-19-6ca8bb24fa,2019-03-19:01-19:1,32:MONROE,site-4d6c230a8ba6,32,MONROE,32 Monroe Ave. Between: Farmer St and Woodward Ave in a B5 Zone (Major Business District),MONROE,matched,1
bza-49-18-7931dced47,2019-03-19:49-18:1,13510:E EIGHT MILE,site-8427f5376eae,13510,E EIGHT MILE,13510 E. Eight Mile Rd. Between: Pelkey St. and Schoenherr Rd in a B4 Zone (General Business District) – Council District#3,EIGHT MILE,matched,1
bza-53-18-249a9f612c,2019-03-19:53-18:1,3930:E EIGHT MILE,site-c7ad20d9b393,3930,E EIGHT MILE,3930 E. Eight Mile Rd. Between: Wexford and Binder in a B4 Zone (General Business District) - Council District #3,EIGHT MILE,matched,1
bza-79-18-d186bad83f,2019-03-19:79-18:1,8052:E EIGHT MILE,site-cfb3dc1bf641,8052,E EIGHT MILE,8052 E. Eight Mile Rd Between: Terrell and Stotter in a B4 Zone (General Business District) – Council District #3,EIGHT MILE,matched,1
bza-06-17-1938c13e88,2019-03-26:06-17:1,15500:E EIGHT MILE,site-525135ef50dc,15500,E EIGHT MILE,15500 E. Eight Mile Rd Between: Crusade Ave. and Brock Ave. in a B4 zone (General Business District) – Council District #3,EIGHT MILE,matched,1
bza-2-19-dafba32633,2019-03-26:2-19:1,5604:FLORIDA,site-c9df2676e2b4,5604,FLORIDA,"5604, 5610 & 5614 Florida Between: McGraw and Wagner in a R2 Zone (Two-Family Residential District) - Council District #6",FLORIDA,matched,1
bza-2-19-dafba32633,2019-03-26:2-19:1,5610:FLORIDA,site-463a093d8ac4,5610,FLORIDA,"5604, 5610 & 5614 Florida Between: McGraw and Wagner in a R2 Zone (Two-Family Residential District) - Council District #6",FLORIDA,matched,1
bza-2-19-dafba32633,2019-03-26:2-19:1,5614:FLORIDA,site-27fd65a447cd,5614,FLORIDA,"5604, 5610 & 5614 Florida Between: McGraw and Wagner in a R2 Zone (Two-Family Residential District) - Council District #6",FLORIDA,matched,1
