case_history_id,occurrence_id,site_key,site_id,number,street,source_location,street_nodir,parcel_id,address,match_method,Index
bza-116-16-902857b7a3,2019-03-05:116-16:1,14846:W SEVEN MILE,site-2fb81e14fa72,14846,W SEVEN MILE,14846 W. Seven Mile Rd. Between: Robson and Lauder in an B4 Zone (General Business District) Council District #2,SEVEN MILE,22017317-26,14846 W SEVEN MILE,exact,
bza-5-19-2dc104a2e6,2019-03-05:5-19:1,7250:MACK,site-6c3950cb2391,7250,MACK,7250 Mack (aka 7200 Mack) Between: E. Grand Blvd. and Field in an R5 Zone (Medium Density Residential District) – Council District # 6,MACK,15000266.002,7250 MACK,exact,
bza-5-19-2dc104a2e6,2019-03-05:5-19:1,7200:MACK,site-dd2f49c4770e,7200,MACK,7250 Mack (aka 7200 Mack) Between: E. Grand Blvd. and Field in an R5 Zone (Medium Density Residential District) – Council District # 6,MACK,15000266.001,7200 MACK,exact,
bza-72-18-196a5b43c0,2019-03-05:72-18:1,20181:VAN DYKE,site-0649167f79d9,20181,VAN DYKE,20181 Van Dyke Between: Savage and Milbank in a B4 zone (General Business District) – Council District # 3,VAN DYKE,15005176-8,20181 VAN DYKE,exact,
bza-75-18-7d8e616722,2019-03-05:75-18:1,16703:MACK,site-766d622744d8,16703,MACK,16703 Mack Between: Bishop and Yorkshire in a B4 zone (General Business District) City Council District #4,MACK,21001480.,16703 MACK,exact,
bza-116-17-28da9b4180,2019-03-12:116-17:1,13042:VAN DYKE,site-5666383e2f10,13042,VAN DYKE,13042 Van Dyke Ave. Between: Forestlawn St. and Almont St in a B4 Zone (General Business District),VAN DYKE,17009717-19,13042 VAN DYKE,exact,
bza-76-18-cbc171d150,2019-03-12:76-18:1,10345:W EIGHT MILE,site-929301754953,10345,W EIGHT MILE,10345 W. Eight Mile between Birwood and Griggs in a B2 zone (Local Business And Residential District),EIGHT MILE,16009481.000,10345 W EIGHT MILE,exact,
bza-77-18-95afed9f1e,2019-03-12:77-18:1,14730:HARPER,site-1061a52bbe0f,14730,HARPER,14730 Harper between Outer Drive and Manistique in a B4 zone (General Business District),HARPER,21003951-2,14730 HARPER,exact,
bza-78-18-85c69b7830,2019-03-12:78-18:1,2950:ROSA PARKS,site-6f3fb5624d31,2950,ROSA PARKS,2950 Rosa Parks Blvd. between Elm St and Temple St in a R3 zone (Low Density Residential District),ROSA PARKS,08007477.,2950 ROSA PARKS BLVD,exact,
bza-01-19-6ca8bb24fa,2019-03-19:01-19:1,32:MONROE,site-4d6c230a8ba6,32,MONROE,32 Monroe Ave. Between: Farmer St and Woodward Ave in a B5 Zone (Major Business District),MONROE,01003958-83,32 MONROE,exact,
bza-49-18-7931dced47,2019-03-19:49-18:1,13510:E EIGHT MILE,site-8427f5376eae,13510,E EIGHT MILE,13510 E. Eight Mile Rd. Between: Pelkey St. and Schoenherr Rd in a B4 Zone (General Business District) – Council District#3,EIGHT MILE,21028271-6,13510 E EIGHT MILE,exact,
bza-53-18-249a9f612c,2019-03-19:53-18:1,3930:E EIGHT MILE,site-c7ad20d9b393,3930,E EIGHT MILE,3930 E. Eight Mile Rd. Between: Wexford and Binder in a B4 Zone (General Business District) - Council District #3,EIGHT MILE,13009134-8,3930 E EIGHT MILE,exact,
bza-79-18-d186bad83f,2019-03-19:79-18:1,8052:E EIGHT MILE,site-cfb3dc1bf641,8052,E EIGHT MILE,8052 E. Eight Mile Rd Between: Terrell and Stotter in a B4 Zone (General Business District) – Council District #3,EIGHT MILE,17005740.004L,8052 E EIGHT MILE,exact,
