classification,cases,kind
administrative_or_community_appeal,151,relief
dimensional_relief_unspecified,76,relief
parking_supply,74,relief
use_spacing_separation,62,relief
setbacks_yards,57,relief
nonconforming_use_or_structure,47,relief
lot_coverage,32,relief
lot_dimensions,28,relief
hardship_relief,20,relief
height,19,relief
open_recreation_space,15,relief
request_not_stated,13,relief
signs_billboards,12,relief
parking_layout,12,relief
floor_area_bulk,11,relief
screening_landscaping,10,relief
multiple_buildings,7,relief
fences_walls,1,relief
loading,1,relief
dimensional_variance,286,route
administrative_appeal,150,route
nonconforming_review,39,route
hardship_petition,20,route
use_or_spacing_variance,10,route
