site_key,parcel_id,action,note,evidence
15400:GRAND RIVER,22008281.002,assign,Recovered through Detroit Base Units address-to-parcel link,exact normalized Base Units address
24241:GRAND RIVER,22007544-60,assign,Recovered through Detroit Base Units address-to-parcel link,exact normalized Base Units address
3325:MICHIGAN,12000315-7,assign,Recovered through Detroit Base Units address-to-parcel link,exact normalized Base Units address
4100:W VERNOR,14000370-3,assign,Recovered through Detroit Base Units address-to-parcel link,exact normalized Base Units address
8333:TOWNSEND,15001296.,assign,Recovered through Detroit Base Units address-to-parcel link,exact normalized Base Units address
1475:E JEFFERSON,05000083-99,assign,Recovered through Detroit Base Units address-to-parcel link,exact normalized Base Units address
15831:MACK,21001445-6,assign,Recovered through Detroit Base Units address-to-parcel link,exact normalized Base Units address
7900:DIX,20004389-91,assign,Recovered through Detroit Base Units address-to-parcel link,exact normalized Base Units address
13316:14TH,08004423-4,assign,Recovered through Detroit Base Units address-to-parcel link,exact normalized Base Units address
8600:E EIGHT MILE,17005738.000,assign,Recovered through Detroit Base Units address-to-parcel link,exact normalized Base Units address
230:GREEN,18008907-18,assign,Recovered through Detroit Base Units address-to-parcel link,exact normalized Base Units address
17610:JAMES COUZENS,22019098-101,assign,Recovered through Detroit Base Units address-to-parcel link,exact normalized Base Units address
1950:WEBB,08003432.,assign,Recovered through Detroit Base Units address-to-parcel link,exact normalized Base Units address
6600:MT ELLIOTT,15014140.,assign,Recovered through Detroit Base Units address-to-parcel link,exact normalized Base Units address or address point
2639:AUSTIN,10000149.001,assign,Recovered through Detroit Base Units address-to-parcel link,exact normalized Base Units address or address point
2647:AUSTIN,10000149.003,assign,Recovered through Detroit Base Units address-to-parcel link,exact normalized Base Units address or address point
7640:KIPLING,08005576.012,assign,Recovered through Detroit Base Units address-to-parcel link,exact normalized Base Units address or address point
7652:KIPLING,08005576.008,assign,Recovered through Detroit Base Units address-to-parcel link,exact normalized Base Units address or address point
2741:HARRISON,08006674.010,assign,Recovered through Detroit Base Units address-to-parcel link,exact normalized Base Units address or address point
