source_ref	municode_node_id	content_sha256
§50-1-1	COCH50_CH50ZO_ARTIINPR_S50-1-1TI	614796a57e36979793cb22ca9e113740af58f025f83391cef8f24cc9800fef23
§50-1-2	COCH50_CH50ZO_ARTIINPR_S50-1-2AU	fc0013a5d0fa954e488f50b6247a6c53d695642372ebccdba51895bf83cad596
§50-1-3	COCH50_CH50ZO_ARTIINPR_S50-1-3APJU	718a9b168bcbd168272098bcdcb1ce84198f8370e35b61d973344536a4416672
§50-1-4	COCH50_CH50ZO_ARTIINPR_S50-1-4PUINGE	5bf812220b53725da5c0b82fe16d6be2e88b37e6d9a6aaa55ba290e0ee220146
§50-1-5	COCH50_CH50ZO_ARTIINPR_S50-1-5PUINSP	e1f3e477676109adae27c8c183c1b5e405d83982e3fa70fecf5a333a03592d5d
§50-1-6	COCH50_CH50ZO_ARTIINPR_S50-1-6REARMI	aa89135e2ff42bfe760998f950496249cf43f9144c3396d18ea28dc7aad57738
§50-1-7	COCH50_CH50ZO_ARTIINPR_S50-1-7BO	3fcd491fc4a7374f4719569736550c306c54feb5be37419338bf958231ef7064
§50-1-8	COCH50_CH50ZO_ARTIINPR_S50-1-8COPRCOSTFERE	e6c1a27f8fc2be6e6685fb8fd1079b63e18a4815eb6223971ae9e772020bd3ef
§50-1-9	COCH50_CH50ZO_ARTIINPR_S50-1-9COPRCOOTRE	5fd05413e0f01dff5df95ca8bb978e81fccc6896eb91965d6038cd3eb360b3e9
§50-1-10	COCH50_CH50ZO_ARTIINPR_S50-1-10COPRCOPRAG	bd124c23867a08eb3b72d9f32e52790341827fc25b8998f44c8a22430ed2ff03
§50-1-11	COCH50_CH50ZO_ARTIINPR_S50-1-11TRPRVICO	13d83689f67cc16f60493bb6c449b743711e1f9d40fae236d022130578916e21
§50-1-12	COCH50_CH50ZO_ARTIINPR_S50-1-12TRPRLENOUNPROR	51abc21a0b30c271942b4865adfb20adf034da0f4a99acff064781d4930f5f99
§50-1-13	COCH50_CH50ZO_ARTIINPR_S50-1-13TRPRAPPR	0711315be84bfb5c55a716eb6c80f9de28bf05587c91d2bc219534ea5cc1e6bb
§50-1-14	COCH50_CH50ZO_ARTIINPR_S50-1-14TRPRAPPR	0312d2b33aac3cd681968f8f9ed5d1ef0d53c1e599cbdbfaf3d01f407390448f
§50-1-15	COCH50_CH50ZO_ARTIINPR_S50-1-15SE	d399b5878fbb8f28ab9b72c806f5ff4438fba2a259382f4020064d00b5ab7bc8
§§50-1-16—50-1-40	COCH50_CH50ZO_ARTIINPR_SS50-1-16--50-1-40RE	8d8a269be3ee1f2efcb6b495d9bbc35510ab38d42225add5fdb37e3575495c6d

